ds,yhat,yhat_lower,yhat_upper,is_forecast,actual
2016-10-01,40325.129930022726,40325.12977566415,40325.130076291905,False,40325.11
2016-12-01,10.899983495553911,10.899825690482114,10.900139717064695,False,10.9
2017-01-01,111798.3615352506,111798.36138752385,111798.3616846451,False,111798.36
2017-02-01,234223.3973476856,234223.3972036183,234223.39749948273,False,234223.4
2017-03-01,359198.85049596376,359198.8503412071,359198.85065993195,False,359198.85
2017-04-01,340669.68342254823,340669.6832580694,340669.683584056,False,340669.68
2017-05-01,489338.24195480574,489338.2417981291,489338.2421074978,False,489338.25
2017-06-01,421923.360039569,421923.3598884572,421923.3601962769,False,421923.37
2017-07-01,481604.52976297477,481604.5296053559,481604.5299125006,False,481604.52
2017-08-01,554699.7096634766,554699.7095070776,554699.7098130186,False,554699.7
2017-09-01,607399.6475556339,607399.6474107665,607399.6477031974,False,607399.67
2017-10-01,648247.5907616601,648247.5906152963,648247.590925467,False,648247.65
2017-11-01,987765.3637595278,987765.3636144578,987765.3639077456,False,987765.37
2017-12-01,726033.2323841064,726033.2322390146,726033.2325275962,False,726033.1900000001
2018-01-01,924645.002659718,924645.0025089738,924645.0028107179,False,924645.0
2018-02-01,826437.0816745587,826437.0815067132,826437.0818262093,False,826437.13
2018-03-01,953356.273419138,953356.2732661348,953356.2735808154,False,953356.25
2018-04-01,973534.1279928976,973534.1278394444,973534.128140034,False,973534.09
2018-05-01,977544.6925034877,977544.6923509517,977544.692657258,False,977544.6900000001
2018-06-01,856077.8582925058,856077.85815105,856077.8584494141,False,856077.86
2018-07-01,867953.5135738406,867953.5134172261,867953.5137319934,False,867953.46
2018-08-01,1117576.9296625373,1116099.6215435178,1119141.7030771307,True,
2018-09-01,1372485.0712929624,1366845.1401588412,1378092.0948165366,True,
2018-10-01,2261138.256936487,2245442.069507737,2277616.6635066434,True,
2018-11-01,2445119.7380155944,2420708.5489574913,2470431.6226018327,True,
2018-12-01,1938007.1481904406,1912145.5413199156,1965234.3503787224,True,
2019-01-01,1823057.5723920085,1792395.7402621084,1856053.1887054788,True,
